year,quarter,date_range,court_type,crown_court_centre,local_criminal_justice_board,region,yearquarter,offence_type,variable_type,value
2015,Q1,Jan-Mar 2015,Crown,Oxford,Thames Valley,South East,2015Q1,Robbery,Receipts,9
2015,Q1,Jan-Mar 2015,Crown,Reading,Thames Valley,South East,2015Q1,Robbery,Receipts,15
2015,Q1,Jan-Mar 2015,Crown,Bristol,Avon & Somerset,South West,2015Q1,Robbery,Receipts,21
2015,Q1,Jan-Mar 2015,Crown,Taunton,Avon & Somerset,South West,2015Q1,Robbery,Receipts,7
2015,Q1,Jan-Mar 2015,Crown,Exeter,Devon & Cornwall,South West,2015Q1,Robbery,Receipts,2
2015,Q1,Jan-Mar 2015,Crown,Plymouth,Devon & Cornwall,South West,2015Q1,Robbery,Receipts,6
2015,Q1,Jan-Mar 2015,Crown,Truro,Devon & Cornwall,South West,2015Q1,Robbery,Receipts,5
2015,Q1,Jan-Mar 2015,Crown,Bournemouth,Dorset,South West,2015Q1,Robbery,Receipts,4
2015,Q1,Jan-Mar 2015,Crown,Weymouth & Dorchester,Dorset,South West,2015Q1,Robbery,Receipts,2
2015,Q1,Jan-Mar 2015,Crown,Gloucester,Gloucestershire,South West,2015Q1,Robbery,Receipts,16
2015,Q1,Jan-Mar 2015,Crown,Newport (Isle of Wight),Hampshire,South West,2015Q1,Robbery,Receipts,2
2015,Q1,Jan-Mar 2015,Crown,Portsmouth,Hampshire,South West,2015Q1,Robbery,Receipts,9
2015,Q1,Jan-Mar 2015,Crown,Southampton,Hampshire,South West,2015Q1,Robbery,Receipts,9
2015,Q1,Jan-Mar 2015,Crown,Winchester,Hampshire,South West,2015Q1,Robbery,Receipts,2
2015,Q1,Jan-Mar 2015,Crown,Salisbury,Wiltshire,South West,2015Q1,Robbery,Receipts,2
2015,Q1,Jan-Mar 2015,Crown,Swindon,Wiltshire,South West,2015Q1,Robbery,Receipts,7
2015,Q1,Jan-Mar 2015,Crown,Mold,North Wales,Wales,2015Q1,Robbery,Receipts,9
2015,Q1,Jan-Mar 2015,Crown,Cardiff,South Wales,Wales,2015Q1,Robbery,Receipts,15
2015,Q1,Jan-Mar 2015,Crown,Merthyr Tydfil,South Wales,Wales,2015Q1,Robbery,Receipts,3
2015,Q1,Jan-Mar 2015,Crown,Swansea,South Wales,Wales,2015Q1,Robbery,Receipts,5
2015,Q1,Jan-Mar 2015,Crown,Central Criminal Court,Central London,London,2015Q1,Theft Offences,Receipts,15
2015,Q1,Jan-Mar 2015,Crown,Southwark,Central London,London,2015Q1,Theft Offences,Receipts,63
2015,Q1,Jan-Mar 2015,Crown,Snaresbrook,North East London,London,2015Q1,Theft Offences,Receipts,81
2015,Q1,Jan-Mar 2015,Crown,Harrow,North West London,London,2015Q1,Theft Offences,Receipts,52
2015,Q1,Jan-Mar 2015,Crown,Wood Green,North West London,London,2015Q1,Theft Offences,Receipts,86
2015,Q1,Jan-Mar 2015,Crown,Croydon,South East London,London,2015Q1,Theft Offences,Receipts,76
2015,Q1,Jan-Mar 2015,Crown,Inner London Sessions House,South East London,London,2015Q1,Theft Offences,Receipts,52
2015,Q1,Jan-Mar 2015,Crown,Woolwich,South East London,London,2015Q1,Theft Offences,Receipts,62
2015,Q1,Jan-Mar 2015,Crown,Blackfriars,South West London,London,2015Q1,Theft Offences,Receipts,56
2015,Q1,Jan-Mar 2015,Crown,Isleworth,South West London,London,2015Q1,Theft Offences,Receipts,104
2015,Q1,Jan-Mar 2015,Crown,Kingston Upon Thames,South West London,London,2015Q1,Theft Offences,Receipts,56
2015,Q1,Jan-Mar 2015,Crown,Derby,Derbyshire,Midlands,2015Q1,Theft Offences,Receipts,41
2015,Q1,Jan-Mar 2015,Crown,Leicester,Leicestershire,Midlands,2015Q1,Theft Offences,Receipts,64
2015,Q1,Jan-Mar 2015,Crown,Lincoln,Lincolnshire,Midlands,2015Q1,Theft Offences,Receipts,24
2015,Q1,Jan-Mar 2015,Crown,Northampton,Northamptonshire,Midlands,2015Q1,Theft Offences,Receipts,26
